OBJECTID,FRAREGION,RROWNER1,RROWNER2,TRKRGHTS1,TRKRGHTS2,STRACNET,SIGSYS,PASSNGR,RAIL_TYPE,ABAND_YR,SOURCE,SEGMENT_MILES,FULL_NAME,FULLNAME_ABBR,SHAPE.LEN
6509,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.13350615,Burlington Northen Santa Fe Railway,BNSF,0.002859514194993
6848,8,NPR, , , , ,Unk, ,O,0,Primary source was NTAD; adjusted to imagery,0.34748589,Northern Plains Railroad,NPR,0.00751526277074649
6849,8, , , , , ,Unk, ,O,0, ,0.3285413,Unable to resolve name,Unknown,0.0069275178429684
6850,8, , , , , ,Unk, ,O,0, ,1.74769099,Unable to resolve name,Unknown,0.0311109215354345
6851,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.06189344,Burlington Northen Santa Fe Railway,BNSF,0.0226564913936816
6852,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.78693705,Burlington Northen Santa Fe Railway,BNSF,0.0145140126411945
6853,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.24057228,Burlington Northen Santa Fe Railway,BNSF,0.0224625658357716
6854,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.48705025,Burlington Northen Santa Fe Railway,BNSF,0.00869237168296488
6855,8,BNSF, , , , ,MAN, ,A,2006,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.09068888,Burlington Northen Santa Fe Railway,BNSF,0.0014456506500876
7563,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.63040759,Burlington Northen Santa Fe Railway,BNSF,0.0119675374462423
7564,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.0764129,Burlington Northen Santa Fe Railway,BNSF,0.00130082970827891
7565,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.00506695,Burlington Northen Santa Fe Railway,BNSF,8.62585425914442e-005
7566,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.04523111,Burlington Northen Santa Fe Railway,BNSF,0.000724049071548331
